seller,profile_url,products,observations,categories,top_category,ratings_total,rated_products,ratings_rank,ratings_share_pct,med_price_usd,min_price_usd,max_price_usd,free_products,subs,top_product_url,top_product_ratings,top_product_title
blenderisms,https://blenderisms.gumroad.com,1,1,1,3D > Textures,32,1,630,0.0156,1.49,1.49,1.49,0,0,https://blenderisms.gumroad.com/l/gcpjqv,32,Condensation shader An easy way to set up a condensation effect on any
flamesound,https://flamesound.gumroad.com,1,4,4,3D > 3D Assets > 3ds Max,32,1,631,0.0156,69.0,69.0,69.0,0,0,https://flamesound.gumroad.com/l/vatra,32,VATRA More info: https://flamesound.com/vatra/VATRA is a mix finisher
muteproduction,https://muteproduction.gumroad.com,1,1,1,Design > Graphics > Textures & Patterns (2D),32,1,632,0.0156,40.4,40.4,40.4,0,0,https://muteproduction.gumroad.com/l/ForestPsy,32,Forest Psy for Serum Mute Production 5.0 (32) £30+
staspro1,https://staspro1.gumroad.com,1,4,4,Drawing & Painting > Digital Illustration > Illustration Brushes > Procreate,32,1,633,0.0156,25.04,25.04,25.04,0,0,https://staspro1.gumroad.com/l/pack1000,32,Over 2000+ Procreate Brushes by Stas | Whole Store Bundle Hey there! I
theethicalinvestor,https://theethicalinvestor.gumroad.com,1,1,1,Business & Money > Investing,32,1,634,0.0156,45.0,45.0,45.0,0,1,https://theethicalinvestor.gumroad.com/l/rYcOe,32,AMI Capital Ventures Investment Community The Ethical Investor 5.0 (32
creatorvc,https://creatorvc.gumroad.com,4,7,3,Films > Documentary,31,4,635,0.0151,23.03,18.02,40.06,0,0,https://creatorvc.gumroad.com/l/FPSDOC,14,FPS: FIRST PERSON SHOOTER DOCUMENTARY (DIGITAL BUNDLE) Available to do
violetviper,https://violetviper.gumroad.com,4,4,4,3D > 3D Assets > Props > Handheld,31,4,636,0.0151,3.0,1.0,5.01,0,0,https://violetviper.gumroad.com/l/RetroRobot,9,Retro Robot Retro RobotThis mid 2000s inspired bot is perfect for retr
griffonka,https://griffonka.gumroad.com,3,5,2,3D > Avatars,31,3,637,0.0151,50.07,50.07,80.12,0,0,https://griffonka.gumroad.com/l/kael,17,🔥KAEL🔥PC&QUEST&OPTI (face tracking) male Griffonka 4.6 (17) £37.18+
ottoarney,https://ottoarney.gumroad.com,3,4,3,Photography > Photo Presets & Actions,31,3,638,0.0151,15.03,10.02,20.04,0,0,https://ottoarney.gumroad.com/l/xfuksv,24,Football Photography Preset Pack | NEW SKOOL Otto Arney 4.1 (24) £11.1
relativegames,https://relativegames.gumroad.com,3,3,2,3D > 3D Assets > Unity,31,2,639,0.0151,29.99,29.99,44.99,0,0,https://relativegames.gumroad.com/l/unrealtogodot,23,Unreal To Godot Exporter Presentation VideoThe Unreal to Godot Exporte
