url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://ghostly.gumroad.com/l/dxtyta,dxtyta,Ghostly Female Hair Pack [Creator Kit],GHOSTLY,https://ghostly.gumroad.com,10.00,False,False,,13,4.8,,39,2317,3d/3d-assets/avatar-components/hair
https://gingermints.gumroad.com/l/uvyfvo,uvyfvo,Rope Sweat Pants for NovaBeast and Mayu,Gingermints,https://gingermints.gumroad.com,10.00,False,False,,0,0.0,,3,11,3d/3d-assets/clothing
https://glitchychl.gumroad.com/l/asuka,niska,Deira Latex Evangelion Plugsuit,Glitchyෆ,https://glitchychl.gumroad.com,10.00,False,False,,3,4.3,,21,70,3d/3d-assets/clothing/bodysuits
https://glitchychl.gumroad.com/l/cyupi,hercr,Novabeast Casual Fit,Glitchyෆ,https://glitchychl.gumroad.com,12.00,False,True,126,5,4.2,25.20,21,68,3d/3d-assets/clothing/jackets
https://gloria3d.gumroad.com/l/HighFantasyElf,ynyzi,High fantasy Elf Dress,Gloria 3D,https://gloria3d.gumroad.com,7.00,False,False,,17,4.6,,,,3d/3d-assets/clothing/dresses
https://gloria3d.gumroad.com/l/yvkxv,yvkxv,Star Night - Celestial Gown Dress for Vrchat,Gloria 3D,https://gloria3d.gumroad.com,7.00,False,False,,1,5.0,,3,22,3d/3d-assets/clothing/dresses
https://glukoz.gumroad.com/l/uvpackmaster,wahhm,UVPackmaster PRO for Blender (latest),glukoz (3Coords),https://glukoz.gumroad.com,0.00,True,False,,334,5.0,,2,64,3d
https://glukoz.gumroad.com/l/uvpackmaster-maya,xktiei,UVPackmaster PRO for Maya (latest),glukoz (3Coords),https://glukoz.gumroad.com,0.00,True,False,,12,5.0,,2,386,3d/3d-assets
https://godsmessagenow.gumroad.com/l/fpeatj,fpeatj,The Christ Fellowship – Support the Ministry,God's Message Joy,https://godsmessagenow.gumroad.com,0.00,True,False,,4,5.0,,3,21,3d/3d-assets/3ds-max
https://gracielangraw.gumroad.com/l/jgwul,jgwul,Rainbow of Raw:  110+ Raw Vegan Recipes,Grace Lang,https://gracielangraw.gumroad.com,45.99,False,False,,15,4.9,,,,3d
https://grafitcubeschool.gumroad.com/l/blender25d,yawse,Insane 2.5D Blender – Early Access – 7 Chapters with 40% OFF – Code EARLY70,Grafit Cube School,https://grafitcubeschool.gumroad.com,280.00,False,False,,31,4.6,,4,21,3d
https://grisha.gumroad.com/l/IsVqN,IsVqN,Marka Pro,Gregory M,https://grisha.gumroad.com,36.00,False,False,,13,4.8,,,,3d
https://gtafivemcustoms.gumroad.com/l/drvaqr,drvaqr,FREE 3D Chain Releases GTA Five M ,Gary,https://gtafivemcustoms.gumroad.com,0.00,True,True,1418,1,5.0,1418.00,,,3d/3d-assets/accessories/wings
https://gtafivemcustoms.gumroad.com/l/kncizo,kncizo,Chain Template Asset Pack Vol.1  - GTA FiveM ,Gary,https://gtafivemcustoms.gumroad.com,65.00,False,False,,0,0.0,,,,3d/3d-assets/accessories/jewelry
https://guardianuk.gumroad.com/l/version,rebiyq,Vision Box Pro | All-in-One Access Hub,UK Guardian,https://guardianuk.gumroad.com,0.00,True,False,,0,0.0,,,,3d/3d-assets/accessories/wings
https://gunnos.gumroad.com/l/taktikalbakpak,ggjgc,Universal Taktikal Bakpak,GunnOS,https://gunnos.gumroad.com,10.00,False,False,,11,4.2,,,,3d/3d-assets/accessories
https://hanmen.gumroad.com/l/gfxdev,jdycp,Graphics Plugin Full v2.8.0,Hanmen,https://hanmen.gumroad.com,0.00,True,True,389,58,4.5,6.71,26,2179,3d
https://hanmen.gumroad.com/l/nxgs5,cdxely,Next-Gen Shaders V5 for Honey Select 2 (FLASH SALE),Hanmen,https://hanmen.gumroad.com,10.99,False,False,,15,4.5,,26,2222,3d/3d-assets/3ds-max
https://harusautosalon.gumroad.com/l/Lowgt,cuhtw,Low GT wing,HarusAutoSalon,https://harusautosalon.gumroad.com,5.00,False,False,,0,0.0,,12,23,3d/3d-assets/accessories/wings
