url,status,sales_count,ratings_count,price,fetched_at,currency,is_pwyw,pwyw_suggested,product_name,seller,note
https://dannymac.gumroad.com/l/hairwrangler,disclosed,9393,56,0.00,2026-08-26T16:22:01.807117+00:00,usd,no,,Hair Wrangler for Blender,dannymac,
https://davestuartjr.gumroad.com/l/MITS3,disclosed,2919,54,25.00,2026-08-26T16:22:06.798104+00:00,usd,no,,MITS 3.0 - Now including Assessments,davestuartjr,
https://debtefficiency.gumroad.com/l/free-tool,disclosed,1168,9,0.00,2026-08-26T16:22:11.576130+00:00,usd,yes,5.00,Free Debt Efficiency Pro: Custom Debt Payoff Plan,debtefficiency,
https://developassion.gumroad.com/l/obsidian-starter-kit,disclosed,1045,51,199.99,2026-08-26T16:22:18.019097+00:00,eur,no,,Obsidian Starter Kit and community,developassion,
https://dinzee.gumroad.com/l/DBS,disclosed,18,2,8.00,2026-08-26T16:22:22.747827+00:00,usd,yes,8.00,Dinzee's Bunny Suit,dinzee,
https://dinzee.gumroad.com/l/DBunnySuitMale,disclosed,10,2,7.00,2026-08-26T16:22:27.608393+00:00,usd,yes,7.00, Dinzee's BunnySuit MALE,dinzee,
https://dinzee.gumroad.com/l/DCD,disclosed,88,8,8.00,2026-08-26T16:22:32.096812+00:00,usd,yes,8.00,Dinzee's Chained Dress,dinzee,
https://dinzee.gumroad.com/l/DCobwebDress1HW24,disclosed,2,1,7.00,2026-08-26T16:22:36.768976+00:00,usd,yes,7.00,Dinzee's Cobweb Dress 1,dinzee,
https://dinzee.gumroad.com/l/DMD,disclosed,48,5,6.00,2026-08-26T16:22:41.607957+00:00,usd,yes,6.00,Dinzee's Mermaid Dress,dinzee,
https://dinzee.gumroad.com/l/DSirenDrapeGown,disclosed,3,1,9.00,2026-08-26T16:22:46.377909+00:00,usd,yes,9.00,Dinzee's Siren Drape Gown,dinzee,
https://dinzee.gumroad.com/l/PyraAndSareneWings,disclosed,25,1,7.00,2026-08-26T16:22:51.003167+00:00,usd,yes,7.00, Pyra and Sarene Wings,dinzee,
https://dkolpakov.gumroad.com/l/Overlapper,disclosed,3986,111,20.00,2026-08-26T16:22:55.799454+00:00,usd,no,,Overlapper 1.1.2,dkolpakov,
https://dreadwolfuin.gumroad.com/l/RegulusWaistcoat,disclosed,58,1,5.00,2026-08-26T16:23:00.411348+00:00,gbp,no,,Regulus Waistcoat,dreadwolfuin,
https://dummics.gumroad.com/l/chainedbh,disclosed,44,3,4.00,2026-08-26T16:23:04.994873+00:00,eur,yes,5.00,Chained Body Harness,dummics,
https://dutchtrader2.gumroad.com/l/lcwnu,disclosed,145,3,199.00,2026-08-26T16:23:09.299910+00:00,usd,no,,ComfyUI WAN 2.2 Image-to-Video Animation Workflow Pack + Lifetime Updates,dutchtrader2,
https://dvassallo.gumroad.com/l/small-bets,disclosed,7401,189,450.00,2026-08-26T16:23:13.994457+00:00,usd,no,,Small Bets - Lifetime Membership,dvassallo,
https://eggnogz.gumroad.com/l/HuskyEars,disclosed,70,5,5.00,2026-08-26T16:23:18.801547+00:00,usd,yes,5.00,Husky Ears [Personal & Commerical Use],eggnogz,
https://elaligato.gumroad.com/l/chubby_choker,disclosed,10,1,5.00,2026-08-26T16:23:23.682240+00:00,usd,no,,Spiked Heart Choker (rigged)(10k-20k triangles),elaligato,
https://eldritchelias.gumroad.com/l/xipczs,disclosed,152,7,5.00,2026-08-26T16:23:28.787319+00:00,usd,yes,,Detailed Elk Antlers,eldritchelias,
https://eliteentries.gumroad.com/l/skduu,disclosed,75,6,0.00,2026-08-26T16:23:33.686560+00:00,usd,no,,Discord Access w/ Trading Indicators and Strategies (Level II) ,eliteentries,
https://elizabytevr.gumroad.com/l/AnimeHead,disclosed,276,73,0.00,2026-08-26T16:23:38.267172+00:00,usd,yes,15.00,"Eliza Anime Head - [VRChat, VTuber, ARKit, Unified Expressions, MMD]",elizabytevr,
